% Model:              ring_decel_osterwalder.mph
% Version:            COMSOL 5.4.0.225
% Date:               Mar 20 2019, 06:41
% Dimension:          2
% Nodes:              1281
% Expressions:        1
% Description:        Electric field norm
% Length unit:        mm
% r                       z                        es.normE (V/m) @ ph=0
1.1                       -0.3999999999999999      1177289.169595425
1.2000000000000002        -0.3999999999999999      1278743.4080743296
1.3000000000000003        -0.3999999999999999      1393898.4986356918
1.4000000000000001        -0.3999999999999999      1527903.8096952746
1.5                       -0.3999999999999999      1675190.043459903
1.6                       -0.3999999999999999      1860410.3865553236
1.7000000000000002        -0.3999999999999999      2098003.85822708
1.8000000000000003        -0.3999999999999999      2390604.718583036
1.9000000000000001        -0.3999999999999999      2723916.8087577703
2                         -0.3999999999999999      3230017.39035438
0                         -0.2999999999999998      474302.67086181894
0.1                       -0.2999999999999998      481656.54131862446
0.2                       -0.2999999999999998      501687.1888155107
0.30000000000000004       -0.2999999999999998      534210.2174020928
0.4                       -0.2999999999999998      577681.5661220361
0.5                       -0.2999999999999998      629499.1579597383
0.6000000000000001        -0.2999999999999998      690061.2039880815
0.7000000000000001        -0.2999999999999998      757734.1302590187
0.8                       -0.2999999999999998      831660.0961002286
0.9000000000000001        -0.2999999999999998      914249.3165739861
1                         -0.2999999999999998      1003130.9294302054
1.1                       -0.2999999999999998      1102791.94363308
1.2000000000000002        -0.2999999999999998      1215032.1309225985
1.3000000000000003        -0.2999999999999998      1337782.720291934
1.4000000000000001        -0.2999999999999998      1479350.8951803746
1.5                       -0.2999999999999998      1667556.4575301937
1.6                       -0.2999999999999998      1872009.9811961171
1.7000000000000002        -0.2999999999999998      2137582.355559029
1.8000000000000003        -0.2999999999999998      2505157.819695604
1.9000000000000001        -0.2999999999999998      2986740.476146633
2                         -0.2999999999999998      3593948.063076007
0                         -0.19999999999999973     317270.7670327324
0.1                       -0.19999999999999973     327799.37388183054
0.2                       -0.19999999999999973     356433.82942361344
